,pid,Player,Position,dob,Shoots,height,height_cm,weight,city,state,country
784,binklle01,Les Binkley,G,1934-06-06,,6-0,183,175,,,
785,binnijo01,Jordan Binnington,G,1993-07-11,,6-1,185,174,,,
786,biondja01,Jack Bionda,D,1933-09-18,Left,6-0,183,180,Hunstville,Ontario,ca
787,biondbl01,Blake Biondi,C,2002-04-24,Right,6-0,183,191,Duluth,Minnesota,us
788,birchbr01,Braden Birch,D,1989-09-25,,,,,,,
789,birdty01,Tyler Bird,RW,1996-08-14,Right,6-1,185,200,,,
790,birkhjo01,Josh Birkholz,RW,1991-03-28,,,,,,,
791,birksda01,Dane Birks,D,1995-08-29,Right,6-2,188,200,Merritt,Canada,ca
792,birnemi01,Michal Birner,LW,1986-03-02,,,,,,,
793,bironma01,Martin Biron,G,1977-08-15,,6-2,188,186,,,
794,bironma02,Mathieu Biron,D,1980-04-29,Right,6-6,198,230,,,
795,bisaise01,Sebastien Bisaillon,D,1986-12-08,Right,6-0,183,205,,,
796,bischja01,Jake Bischoff,D,1994-07-25,Left,6-0,183,197,Cambridge,Minnesota,us
797,bishami01,Mike Bishai,C,1979-05-30,Left,5-11,180,185,Edmonton,Alberta,ca
798,bishobe01,Ben Bishop,G,1986-11-21,,6-7,201,215,Denver,Colorado,us
799,bishocl01,Clark Bishop,C,1996-03-29,Left,6-1,185,199,,,
800,bisseto01,Tom Bissett,C,1966-03-13,Right,6-0,183,180,Seattle,Washington,us
801,bissopa01,Paul Bissonnette,LW,1985-03-11,Left,6-2,188,216,Welland,Ontario,ca
802,bitetan01,Anthony Bitetto,D,1990-07-15,Left,6-1,185,210,,,
803,bittewi01,William Bitten,C,1998-07-10,Right,5-10,178,168,Ottawa,Ontario,ca
804,bittnpa01,Paul Bittner,LW,1996-11-04,Left,6-3,190,211,Crookston,Minnesota,us
805,bittnri01,Richard Bittner,G,1922-01-12,,6-0,183,170,,,
806,bitzby01,Byron Bitz,RW,1984-07-21,Right,6-5,196,215,Saskatoon,Saskatchewan,ca
807,bjorgol01,Ole Julian Bjorgvik-Holm,D,2002-05-23,Left,6-2,188,190,Oslo,Norway,no
808,bjorkan01,Anders Bjork,LW,1996-08-05,Left,6-0,183,190,Mequon,Wisconsin,us
809,bjorkjo01,Johan Bjork,D,1984-08-28,,,,,,,
810,bjorkga01,Garin Bjorklund,G,2002-05-28,,6-1,185,173,,,
811,bjorkhe01,Henrik Bjorklund,RW,1990-09-22,,,,,,,
812,bjorkka01,Kasper Bjorkqvist,RW,1997-07-10,Left,6-1,185,198,Espoo,Finland,fi
813,bjorkol01,Oliver Bjorkstrand,RW,1995-04-10,Right,6-0,183,177,Herning,Denmark,dk
814,bjornto01,Tobias Bjornfot,D,2001-04-06,Left,6-0,183,187,,,
815,bjugsni01,Nick Bjugstad,C,1992-07-17,Right,6-6,198,215,Minneapolis,Minnesota,us
816,bjugssc01,Scott Bjugstad,RW,1961-06-02,Left,6-1,185,185,,,
817,bjurlbj01,Bjorn Bjurling,G,1979-08-21,,,,,,,
818,blackgr01,Graham Black,C,1993-01-13,Left,6-0,183,180,Regina,Saskatchewan,ca
819,blackja01,James Black,LW,1969-08-15,Left,6-0,183,202,Regina,Saskatchewan,ca
820,blackmi01,Milt Black,RW,1949-06-20,Right,6-0,183,190,Winnipeg,Manitoba,ca
821,blackst01,Steve Black,LW,1927-03-31,Left,6-0,183,185,,,
822,blackbo01,Bob Blackburn,D,1938-02-01,Left,5-11,180,198,Rouyn,Quebec,ca
823,blackda01,Dan Blackburn,G,1983-05-20,,6-0,183,180,Montreal,Quebec,ca
824,blackdo01,Don Blackburn,LW,1938-05-14,Left,6-0,183,190,,,
825,blackje01,Jesse Blacker,D,1991-04-19,Right,6-1,185,190,Toronto,Ontario,ca
826,blackco01,Colin Blackwell,C,1993-03-28,Right,5-9,175,190,Lawrence,Massachusetts,us
827,blackbi01,Bill Blackwood,D,1955-04-05,Left,5-11,180,187,Sudbury,Ontario,ca
828,blackma01,Mackenzie Blackwood,G,1996-12-09,,6-4,193,225,,,
829,bladeha01,Hank Blade,LW,1920-04-28,Left,5-11,180,190,Peterborough,Ontario,ca
830,bladoto01,Tom Bladon,D,1952-12-29,Right,6-1,185,195,Edmonton,Alberta,ca
831,blahost01,Stefan Blaho,RW,1985-06-22,,,,,,,
832,blainja01,Jacques Blain,D,1947-07-19,Left,5-11,180,180,Gatineau,Quebec,ca
833,blainje01,Jeremie Blain,D,1992-03-19,Right,6-3,190,195,Longueuil,Quebec,ca
834,blainga01,Garry Blaine,RW,1933-04-19,Right,5-11,180,190,,,
835,blairan01,Andy Blair,C,1908-02-27,Left,6-1,185,180,Winnipeg,Manitoba,ca
836,blairch01,Chuck Blair,RW,1928-07-23,Right,5-10,178,175,,,
837,blairdu01,Dusty Blair,C,1929-09-15,Right,5-8,173,160,,,
838,blaissa01,Sammy Blais,LW,1996-06-17,Left,6-2,188,205,Montmagny,Quebec,ca
839,blaisha01,Harrison Blaisdell,C,2001-03-18,Left,5-11,180,186,,,
840,blaismi01,Mike Blaisdell,RW,1960-01-18,Right,6-1,185,196,,,
841,blakebo01,Bob Blake,LW,1914-08-16,Left,6-0,183,200,Ashland,Wisconsin,us
842,blakeja01,Jason Blake,LW,1973-09-02,Left,5-10,178,190,Moorhead,Minnesota,us
843,blakemi01,Mickey Blake,LW/D,1912-10-31,Left,5-10,178,186,Barriefield,Ontario,ca
844,blakemi02,Mike Blake,G,1956-04-06,,6-0,183,185,Kitchener,Ontario,ca
845,blakero01,Rob Blake,D,1969-12-10,Right,6-4,193,220,Simcoe,Ontario,ca
846,blaketo01,Toe Blake,LW,1912-08-21,Left,5-10,178,165,,,
847,blanaja01,Jan Blanar,D,1983-06-06,,,,,,,
848,blancni01,Nicolas Blanchard,LW,1987-05-31,Left,6-3,190,206,Granby,Quebec,ca
849,blancbo01,Bob Blanchet,G,1954-02-24,,5-8,173,175,,,
850,blancbe01,Bernie Blanchette,RW,1947-07-11,Right,6-0,183,175,,,
851,blandjo01,Joseph Blandisi,C,1994-06-18,Left,6-0,183,182,Markham,Ontario,ca
852,blansco01,Cody Blanshan,D,1984-02-14,,,,,,,
853,blatami01,Miroslav Blatak,D,1982-05-25,,,,,,,
854,blatnzd01,Zdenek Blatny,LW,1981-01-14,Left,6-1,185,190,Brno,Czechoslovakia,cs
855,blazemi01,Michal Blazek,D,1982-04-02,,,,,,,
856,bleacco01,Conner Bleackley,C,1996-07-02,Right,6-0,183,192,,,
857,blichjo01,Joachim Blichfeld,W,1998-07-17,Right,6-2,188,190,Frederikshavn,Denmark,dk
858,blidhan01,Anton Blidh,LW,1995-03-14,Left,6-0,183,201,Molnlycke,Sweden,se
859,blidsri01,Ricard Blidstrand,D,1992-04-20,,,,,,,
860,blighri01,Rick Blight,RW,1955-10-17,Right,6-2,188,195,,,
861,blincru01,Russ Blinco,C,1908-03-12,Left,5-10,178,171,,,
862,blindse01,Severin Blindenbacher,D,1983-03-15,,,,,,,
863,bliznma01,Mario Bliznak,C,1987-03-06,Left,6-0,183,185,Trencin,Czechoslovakia,cs
864,blockke01,Ken Block,D,1944-03-18,Left,5-10,178,191,Steinbach,Manitoba,ca
865,bloemje01,Jeff Bloemberg,D,1968-01-31,Right,6-2,188,205,Listowel,Ontario,ca
866,blomst01,Stefan Blom,D,1985-07-30,,,,,,,
867,blomdpa01,Patric Blomdahl,RW,1984-01-30,,,,,,,
868,blomqan01,Anton Blomqvist,D,1990-03-07,,,,,,,
869,blomqjo01,Joel Blomqvist,G,2002-01-10,,6-1,185,183,Uusikaarlepyy,Finland,fi
870,blomqti01,Timo Blomqvist,D,1961-01-23,Right,6-0,183,200,Helsinki,Finland,fi
871,blomsar01,Arto Blomsten,D,1965-03-16,Left,6-3,190,210,Vaasa,Finland,fi
872,blomslu01,Ludwig Blomstrand,LW,1993-03-08,,6-1,185,198,,,
873,bloodbe01,Ben Blood,D,1989-03-15,,,,,,,
874,bloodev01,Evan Bloodoff,LW,1990-11-21,,,,,,,
875,bloommi01,Mike Bloom,LW,1952-04-12,Left,6-3,190,206,Ottawa,Ontario,ca
876,blouisy01,Sylvain Blouin,LW,1974-05-21,Left,6-2,188,215,Montreal,Quebec,ca
877,bluejo01,John Blue,G,1966-02-19,,5-10,178,185,,,
878,bluegte01,Teddy Blueger,C,1994-08-15,Left,6-0,183,185,Riga,Latvia,lv
879,blujudy01,Dylan Blujus,D,1994-01-22,Right,6-3,190,205,,,
880,blumfr01,Frank Blum,G,1952-06-29,,6-0,183,180,Sudbury,Ontario,ca
881,blumjo01,John Blum,D,1959-10-08,Right,6-3,190,205,Detroit,Michigan,us
882,blumjo02,Jonathon Blum,D,1989-01-30,Right,6-1,185,186,,,
883,blumema01,Matej Blumel,RW,2000-05-31,Left,5-11,180,198,,,
884,blundmi01,Mike Blunden,RW,1986-12-15,Right,6-4,193,217,Toronto,Ontario,ca
885,bobkoig01,Igor Bobkov,G,1991-01-02,,6-5,196,235,,,
886,bobrovi01,Viktor Bobrov,C,1984-01-01,,,,,,,
887,bobrose01,Sergei Bobrovsky,G,1988-09-20,,6-2,188,187,Novokuznetsk,USSR,su
888,bobylvl01,Vladimir Bobylev,RW,1997-04-18,Left,6-2,188,202,,,
889,bochebr01,Brandon Bochenski,RW,1982-04-04,Right,6-1,185,187,Blaine,Minnesota,us
890,bodakbo01,Bob Bodak,LW,1961-05-28,Left,6-2,188,200,,,
891,boddygr01,Gregg Boddy,D,1949-03-19,Left,6-2,188,200,Ponoka,Alberta,ca
892,bodgedo01,Doug Bodger,D,1966-06-18,Left,6-2,188,210,,,
893,bodietr01,Troy Bodie,RW,1985-01-25,Right,6-5,196,226,,,
894,bodinra01,Rasmus Bodin,LW,1994-05-05,,,,,,,
895,bodnagu01,Gus Bodnar,C,1923-04-24,Right,5-11,180,160,,,
896,bodnaan01,Andrew Bodnarchuk,D,1988-07-11,Left,5-11,180,195,Drumheller,Alberta,ca
897,bodrode01,Denis Bodrov,D,1986-08-22,,,,,,,
898,boedkmi01,Mikkel Boedker,RW,1989-12-16,Left,6-0,183,210,Brondby,Denmark,dk
899,boehmro01,Ron Boehm,LW,1943-08-14,Left,5-8,173,160,Saskatoon,Saskatchewan,ca
900,boescga01,Garth Boesch,D,1920-10-07,Right,6-0,183,180,Milestone,Saskatchewan,ca
901,boesebr01,Brock Boeser,RW,1997-02-25,Right,6-1,185,208,Burnsville,Minnesota,us
902,bogosza01,Zach Bogosian,D,1990-07-15,Right,6-3,190,221,,,
903,boguner01,Eric Boguniecki,C,1975-05-06,Right,5-8,173,198,,,
904,bohri01,Rick Boh,C,1964-05-18,Right,5-10,178,185,,,
905,bohonlo01,Lonny Bohonos,RW,1973-05-20,Right,5-11,180,190,Winnipeg,Manitoba,ca
906,boikoal01,Alexandre Boikov,D,1975-02-07,Left,6-0,183,200,Chelyabinsk,USSR,su
907,boikose01,Sergei Boikov,D,1996-01-24,Left,6-2,188,195,,,
908,boilema01,Marc Boileau,C,1932-09-03,Left,5-11,180,170,,,
909,boilepa01,Patrick Boileau,D,1975-02-22,Right,6-0,183,202,Montreal,Quebec,ca
910,boilere01,Rene Boileau,C,1904-05-18,Left,5-10,178,160,,,
911,boimifr01,Fred Boimistruck,D,1962-01-14,Right,5-11,180,190,Sudbury,Ontario,ca
912,boisda01,Danny Bois,RW,1983-06-01,Right,6-0,183,196,,,
913,boiscda01,Daniel Boisclair,G,1982-11-02,,,,,,,
914,boisvgi01,Gilles Boisvert,G,1933-02-15,,5-8,173,152,,,
915,boisvse01,Serge Boisvert,RW,1959-06-01,Right,5-9,175,172,Drummondville,Quebec,ca
916,boivicl01,Claude Boivin,LW,1970-03-01,Left,6-2,188,200,,,
917,boivile01,Leo Boivin,D,1932-08-02,Left,5-8,173,183,Prescott,Ontario,ca
918,bokani01,Nicholas Boka,D,1997-09-08,Right,6-0,183,197,Commerce,Michigan,us
919,bokkdo01,Dominik Bokk,RW,2000-02-03,Right,6-1,185,176,Schweinfurt,Germany,de
920,bolanmi01,Mike Boland,RW,1949-12-16,Right,5-10,178,183,Montreal,Quebec,ca
921,bolanmi02,Mike Boland,D,1954-10-29,Right,6-0,183,190,London,Ontario,ca
922,boldiiv01,Ivan Boldirev,C,1949-08-15,Left,6-0,183,190,Zranjanin,Yugoslavia,yu
923,boldtty01,Tyler Boldt,D,1984-01-03,,,,,,,
924,boldual01,Alexandre Bolduc,C,1985-06-26,Left,6-3,190,200,Montreal,Quebec,ca
925,bolduda01,Danny Bolduc,LW,1953-04-06,Left,5-9,175,180,Waterville,Maine,us
926,bolduje01,Jean-Michel Bolduc,D,1985-02-27,,,,,,,
927,boldumi01,Michel Bolduc,D,1961-03-13,Left,6-2,188,190,Angegardien,Quebec,ca
928,boldusa01,Samuel Bolduc,D,2000-12-09,Left,6-4,193,213,Laval,Canada,ca
929,boldyma01,Matthew Boldy,LW,2001-04-05,Left,6-2,188,196,,,
930,bolflu01,Lukas Bolf,D,1985-02-20,,,,,,,
931,bollbu01,Buzz Boll,LW,1911-03-06,Left,5-10,178,166,Filmore,Saskatchewan,ca
932,bollja01,Jared Boll,RW,1986-05-13,Right,6-3,190,206,,,
933,bollada01,Dave Bolland,C,1986-06-05,Right,6-0,183,184,Mimico,Ontario,ca
934,bollibr01,Brandon Bollig,LW,1987-01-31,Left,6-2,188,220,,,
935,bolonla01,Larry Bolonchuk,D,1952-02-26,Right,5-10,178,190,Winnipeg,Manitoba,ca
936,boltbo01,Bobby Bolt,LW,1987-04-29,,,,,,,
937,boltmja01,Jake Boltmann,D,2001-10-19,Right,6-0,183,188,Edina,Minnesota,us
938,boltohu01,Hugh Bolton,D,1929-04-15,Left,6-3,190,186,Toronto,Ontario,ca
939,bombabr01,Brad Bombardir,D,1972-05-05,Left,6-1,185,205,,,
940,bonarda01,Dan Bonar,C,1956-09-23,Right,5-9,175,175,Brandon,Manitoba,ca
941,bondke01,Kerry Bond,LW,1945-07-18,Left,6-0,183,190,Sudbury,Ontario,ca
942,bondaar01,Arseny Bondarev,LW,1985-04-09,,,,,,,
943,bondrpe01,Peter Bondra,RW,1968-02-07,Left,6-0,183,200,Luck,USSR,su
944,bondrra01,Radovan Bondra,RW,1997-01-27,Left,,,,,,
945,boninbr01,Brian Bonin,C,1973-11-28,Left,5-10,178,186,,,
946,boninma01,Marcel Bonin,W,1932-09-12,Left,5-10,178,170,Montreal,Quebec,ca
947,boninni01,Nick Bonino,C,1988-04-20,Left,6-1,185,196,Hartford,Connecticut,us
948,bonkra01,Radek Bonk,C,1976-01-09,Left,6-2,188,210,Krnov,Czechoslovakia,cs
949,bonneji01,Jimmy Bonneau,LW,1985-03-22,,,,,,,
950,bonniry01,Ryan Bonni,D,1979-02-18,Left,6-4,193,190,Winnipeg,Manitoba,ca
951,bonsija01,Jason Bonsignore,C,1976-04-15,Right,6-4,193,220,,,
952,bonvide01,Dennis Bonvie,RW,1973-07-23,Right,5-11,180,205,,,
953,booji01,Jim Boo,D,1954-11-12,Right,6-1,185,200,Rolla,Missouri,us
954,boogaaa01,Aaron Boogaard,RW,1986-08-11,,,,,,,
955,boogade01,Derek Boogaard,LW,1982-06-23,Right,6-7,201,265,Saskatoon,Saskatchewan,ca
956,boondi01,Dickie Boon,P,1878-01-10,,5-5,165,130,Belleville,Ontario,ca
957,boonebu01,Buddy Boone,RW,1932-09-11,Right,5-7,170,158,,,
958,boothca01,Callum Booth,G,1997-05-21,,6-4,193,191,Montreal,Quebec,ca
959,boothda01,David Booth,LW,1984-11-24,Left,6-0,183,212,Detroit,Michigan,us
960,boothge01,George Boothman,C/D,1916-09-25,Right,6-2,188,175,Calgary,Alberta,ca
961,bootlda01,Darryl Bootland,RW,1981-11-02,Right,6-1,185,197,Toronto,Ontario,ca
962,boqviad01,Adam Boqvist,D,2000-08-15,Right,5-11,180,179,Falun,Sweden,se
963,boqvije01,Jesper Boqvist,C,1998-10-30,Left,6-0,183,179,Falun,Sweden,se
964,bordech01,Christian Bordeleau,C,1947-09-23,Left,5-8,173,172,Noranda,Quebec,ca
965,bordejp01,J.P. Bordeleau,RW,1949-06-13,Right,6-1,185,175,Noranda,Quebec,ca
966,bordepa02,Patrick Bordeleau,LW,1986-03-23,Left,6-6,198,225,Montreal,Quebec,ca
967,bordepa01,Paulin Bordeleau,RW,1953-01-29,Right,5-9,175,162,Noranda,Quebec,ca
968,bordese01,Sebastien Bordeleau,C,1975-02-15,Right,5-11,180,185,,,
969,bordeth01,Thomas Bordeleau,C,2002-01-03,Left,5-9,175,175,Houston,Texas,us
970,borerca01,Casey Borer,D,1985-07-28,Left,6-2,188,205,Minneapolis,Minnesota,us
971,borgewi01,William Borgen,D,1996-12-19,Right,6-2,188,199,Moorhead,Minnesota,us
972,borgedo01,Don Borgeson,LW,1945-05-20,Left,5-11,180,175,,,
973,borgman01,Andreas Borgman,D,1995-06-18,Left,6-0,183,212,Stockholm,Sweden,se
974,borgshe01,Henrik Borgström,C,1997-08-06,Left,6-3,190,190,Helsinki,Finland,fi
975,borotja01,Jack Borotsik,C,1949-11-26,Left,5-9,175,180,Brandon,Manitoba,ca
976,borowma01,Mark Borowiecki,D,1989-07-12,Left,6-1,185,207,Ottawa,Ontario,ca
977,borsalu01,Luciano Borsato,C,1966-01-07,Right,5-11,180,190,,,
978,borscni01,Nikolai Borschevsky,RW,1965-01-12,Left,5-9,175,180,Tomsk,USSR,su
979,borturo01,Robert Bortuzzo,D,1989-03-18,Right,6-4,193,216,,,
980,boschla01,Laurie Boschman,C,1960-06-04,Left,6-0,183,185,Major,Saskatchewan,ca
981,bossymi01,Mike Bossy,RW,1957-01-22,Right,6-0,183,186,Montreal,Quebec,ca
982,bostrhe01,Helge Bostrom,D,1894-01-09,Left,5-8,173,185,Gimli,Manitoba,ca
983,botelma01,Mark Botell,D,1961-08-27,Left,6-4,193,220,Scarborough,Ontario,ca
984,bothwti01,Tim Bothwell,D,1955-05-06,Left,6-3,190,190,,,
985,botteja01,Jason Botterill,LW,1976-05-19,Left,6-4,193,220,Edmonton,Alberta,ca
986,bottica01,Cam Botting,RW,1954-03-10,Right,6-2,188,205,Kingston,Ontario,ca
987,bouchhe01,Henry Boucha,C,1951-06-01,Right,6-0,183,185,Warroad,Minnesota,us
988,bouchbu01,Butch Bouchard,D,1919-09-04,Right,6-2,188,205,Montreal,Quebec,ca
989,bouchda01,Dan Bouchard,G,1950-12-12,,6-0,183,190,,,
990,bouchdi01,Dick Bouchard,RW,1934-12-02,Right,5-8,173,155,Lettelier,Manitoba,ca
991,bouched01,Edmond Bouchard,LW/D,1892-05-24,Left,5-10,178,185,,,
992,bouchev01,Evan Bouchard,D,1999-10-20,Right,6-2,188,192,Oakville,Ontario,ca
993,bouchfr02,Francois Bouchard,RW,1988-04-26,Left,6-1,185,195,Sherbrooke,Quebec,ca
994,bouchjo01,Joel Bouchard,D,1974-01-23,Left,6-1,185,209,Montreal,Quebec,ca
995,bouchke01,Keven Bouchard,G,1996-04-19,,6-2,188,205,,,
996,bouchpi01,Pierre Bouchard,D,1948-02-20,Left,6-2,188,205,Montreal,Quebec,ca
997,bouchpi02,Pierre-Marc Bouchard,C,1984-04-27,Left,5-11,180,171,Sherbrooke,Quebec,ca
998,bouchxa01,Xavier Bouchard,D,2000-02-28,Right,6-4,193,190,,,
999,bouchbi01,Billy Boucher,RW,1899-11-10,Right,5-7,170,155,Ottawa,Ontario,ca
1000,bouchbo01,Bobby Boucher,C,1904-02-14,Right,5-8,173,142,Ottawa,Ontario,ca
1001,bouchbr01,Brian Boucher,G,1977-01-02,,6-2,188,198,,,
1002,bouchcl01,Clarence Boucher,D,1896-11-01,Left,6-1,185,195,,,
1003,bouchfr01,Frank Boucher,C,1901-10-07,Left,5-9,175,185,Ottawa,Ontario,ca
1004,bouchge01,Georges Boucher,D,1896-08-17,Left,5-9,175,169,Ottawa,Ontario,ca
1005,bouchph01,Philippe Boucher,D,1973-03-24,Right,6-3,190,218,,,
1006,bouchre01,Reid Boucher,C,1993-09-08,Left,5-10,178,195,Lansing,Michigan,us
1007,bouckty01,Tyler Bouck,C,1980-01-13,Left,6-0,183,196,Camrose,Alberta,ca
1008,boudrbr01,Bruce Boudreau,C,1955-01-09,Left,5-9,175,170,Toronto,Ontario,ca
1009,boudrga01,Gabryel Boudreau,LW,1995-02-21,,5-11,180,170,,,
1010,boudrmi01,Michel Boudreau,C,1952-09-26,Left,6-0,183,180,Asbestos,Quebec,ca
1011,boudran01,Andre Boudrias,LW,1943-09-19,Left,5-8,173,165,Montreal,Quebec,ca
1012,boudrsh01,Shawn Boudrias,RW,1999-09-14,Right,6-3,190,197,Laval,Quebec,ca
1013,boughba01,Barry Boughner,LW,1948-01-29,Left,5-10,178,180,Delhi,Ontario,ca
1014,boughbo01,Bob Boughner,D,1971-03-08,Right,6-0,183,203,Windsor,Ontario,ca
1015,bouilfr01,Francis Bouillon,D,1975-10-17,Left,5-8,173,194,,,
1016,bouleje01,Jesse Boulerice,RW,1978-08-10,Right,6-2,188,215,,,
1017,boulter01,Eric Boulton,LW,1976-08-17,Left,6-0,183,227,,,
1018,boumala01,Lance Bouma,C,1990-03-25,Left,6-2,188,208,Provost,Alberta,ca
1019,boumejo01,Josef Boumedienne,D,1978-01-12,Left,6-1,185,200,Stockholm,Sweden,se
1020,bouragu01,Gustav Bouramman,D,1997-01-24,Right,6-0,183,189,Stockholm,Sweden,se
1021,bourbda01,Dan Bourbonnais,LW,1962-03-06,Left,5-10,178,185,Winnipeg,Manitoba,ca
1022,bourbri01,Rick Bourbonnais,RW,1955-04-20,Right,6-0,183,186,Toronto,Ontario,ca
1023,bourcco01,Conrad Bourcier,C,1915-05-28,Left,5-6,168,155,Montreal,Quebec,ca
1024,bourcje01,Jean Bourcier,LW,1911-01-03,Left,5-11,180,175,Montreal,Quebec,ca
1025,bourdlu01,Luc Bourdon,D,1987-02-16,Left,6-3,190,211,,,
1026,bourdma01,Marc-Andre Bourdon,D,1989-09-17,Left,6-0,183,206,,,
1027,bourgle01,Leo Bourgeault,D,1903-01-17,Left,5-6,168,165,,,
1028,bourgch01,Charlie Bourgeois,D,1959-11-19,Right,6-4,193,220,,,
1029,bourktr01,Troy Bourke,C,1994-03-30,Left,5-10,178,156,Edmonton,Alberta,ca
1030,bournbo01,Bob Bourne,C,1954-06-21,Left,6-3,190,200,Kindersley,Saskatchewan,ca
1031,bournmi01,Michael Bournival,LW,1992-05-31,Left,5-11,180,198,Shawinigan,Quebec,ca
1032,bourqch01,Chris Bourque,LW,1986-01-29,Left,5-8,173,174,Boston,Massachusetts,us
1033,bourqcl01,Claude Bourque,G,1915-03-31,,5-6,168,140,,,
1034,bourqga01,Gabriel Bourque,LW,1990-09-23,Left,5-10,178,206,Rimouski,Quebec,ca
1035,bourqma01,Mavrik Bourque,C,2002-01-08,Right,5-10,178,178,Plessisville,Quebec,ca
1036,bourqph01,Phil Bourque,LW,1962-06-08,Left,6-1,185,196,Chelmsford,Massachusetts,us
1037,bourqra01,Ray Bourque,D,1960-12-28,Left,5-11,180,219,Montreal,Quebec,ca
1038,bourqre01,Rene Bourque,RW,1981-12-10,Left,6-2,188,217,,,
1039,bourqry01,Ryan Bourque,C,1991-01-03,Left,5-9,175,175,Boxford,Massachusetts,us
1040,bourqsi01,Simon Bourque,D,1997-01-12,Left,6-0,183,184,Longueuil,Quebec,ca
1041,bourqtr01,Trenton Bourque,D,1998-06-11,Left,6-2,188,201,Burlington,Ontario,ca
1042,bourral01,Alex Bourret,RW,1986-10-05,,,,,,,
1043,boutepa01,Pat Boutette,C/RW,1952-03-01,Left,5-8,173,175,Windsor,Ontario,ca
1044,bouthga01,Gabriel Bouthillette,G,1985-05-21,,,,,,,
1045,bouthza01,Zachary Bouthillier,G,1999-11-08,Left,6-2,188,185,,,
1046,boutipa01,Paul Boutilier,D,1963-05-03,Left,6-0,183,200,,,
1047,boutijo01,Jonathan Boutin,G,1985-03-28,,,,,,,
1048,boutijo02,Jonathan Michel Boutin,RW,1984-10-21,,,,,,,
1049,boutiro01,Rollie Boutin,G,1957-11-06,,5-9,175,179,Westlock,Alberta,ca
1050,bouvrli01,Lionel Bouvrette,G,1914-06-10,,5-9,175,165,Hawkesbury,Ontario,ca
1051,bouwmja01,Jay Bouwmeester,D,1983-09-27,Left,6-4,193,206,Edmonton,Alberta,ca
1052,bowla01,Landon Bow,G,1995-08-24,,6-5,196,210,,,
1053,bowenet01,Ethan Bowen,C,2002-05-14,Left,6-1,185,154,,,
1054,bowenja01,Jason Bowen,D,1973-11-09,Left,6-4,193,220,,,
1055,bowerjo01,Johnny Bower,G,1924-11-08,,5-11,180,189,,,
1056,bowersh01,Shane Bowers,C,1999-07-30,Left,6-2,188,186,,,
1057,boweyma01,Madison Bowey,D,1995-04-22,Right,6-2,188,202,Winnipeg,Manitoba,ca
1058,bowieru01,Russell Bowie,C,1880-08-24,,,,,Montreal,Quebec,ca
1059,bowlebi01,Bill Bowler,C,1974-09-25,Left,5-9,175,180,Toronto,Ontario,ca
1060,bowlebr01,Brian Bowles,D,1952-02-18,Right,5-11,180,180,Drummondville,Quebec,ca
1061,bowmadr01,Drayson Bowman,C/LW,1989-03-08,Left,6-1,185,195,,,
1062,bowmaki01,Kirk Bowman,LW,1952-09-30,Left,5-9,175,178,Leamington,Ontario,ca
1063,bowmara01,Ralph Bowman,D,1911-06-20,Left,5-11,180,190,Winnipeg,Manitoba,ca
1064,bownaja01,Jack Bownass,D,1930-07-27,Left,6-1,185,190,Winnipeg,Manitoba,ca
1065,bowneri01,Rick Bowness,RW,1955-01-25,Right,6-1,185,185,,,
1066,bownery01,Ryan Bowness,RW,1983-08-05,,,,,,,
1067,boyceda01,Darryl Boyce,C,1984-07-07,Left,6-0,183,200,,,
1068,boychjo01,Johnny Boychuk,D,1984-01-19,Right,6-2,188,227,Edmonton,Alberta,ca
1069,boychri01,Riley Boychuk,LW,1991-02-20,,,,,,,
1070,boychza01,Zach Boychuk,C,1989-10-04,Left,5-10,178,185,Airdrie,Alberta,ca
1071,boydbi01,Bill Boyd,RW,1898-05-15,Right,5-10,178,185,Belleville,Ontario,ca
1072,boydbo01,Bob Boyd,D,1951-11-27,Right,6-0,183,190,Toronto,Ontario,ca
1073,boyddu01,Dustin Boyd,C,1986-07-16,Left,6-0,183,187,Winnipeg,Manitoba,ca
1074,boydir01,Irwin Boyd,RW,1908-11-13,Right,5-10,178,152,Ardmore,Pennsylvania,us
1075,boydji01,Jim Boyd,C,1949-06-04,Left,5-9,175,180,Calgary,Alberta,ca
1076,boydr,R.J. Boyd,D,1991-02-07,,,,,,,
1077,boydra01,Randy Boyd,D,1962-01-23,Left,5-11,180,190,Coniston,Ontario,ca
1078,boydtr01,Travis Boyd,C,1993-09-14,Right,5-11,180,185,Hopkins,Minnesota,us
1079,boyerwa01,Wally Boyer,C,1937-09-27,Left,5-8,173,165,Cowan,Manitoba,ca
1080,boyerza01,Zac Boyer,RW,1971-10-25,Right,6-1,185,199,,,
1081,boyesbr01,Brad Boyes,RW,1982-04-17,Right,6-0,183,199,Mississauga,Ontario,ca
1082,boykoda01,Darren Boyko,C,1964-01-16,Right,5-9,175,169,Winnipeg,Manitoba,ca
1083,boylade01,Dean Boylan,D,1951-01-28,Right,6-0,183,185,Boston,Massachusetts,us
1084,boylebr01,Brian Boyle,C,1984-12-18,Left,6-6,198,245,Hingham,Massachusetts,us
1085,boyleda01,Dan Boyle,D,1976-07-12,Right,5-11,180,194,Ottawa,Ontario,ca
1086,boyleke01,Kevin Boyle,G,1992-05-30,,6-1,185,197,,,
1087,boyleti01,Timothy Boyle,D,1993-03-21,,,,,,,
1088,boyntni01,Nick Boynton,D,1979-01-14,Right,6-1,185,218,Nobleton,Ontario,ca
