pid,Player,Position,dob,Shoots,height,height_cm,weight,city,state,country
blomqjo01,Joel Blomqvist,G,2002-01-10,,6-1,185,183,Uusikaarlepyy,Finland,fi
blomqti01,Timo Blomqvist,D,1961-01-23,Right,6-0,183,200,Helsinki,Finland,fi
blomsar01,Arto Blomsten,D,1965-03-16,Left,6-3,190,210,Vaasa,Finland,fi
blomslu01,Ludwig Blomstrand,LW,1993-03-08,,6-1,185,198,,,
bloodbe01,Ben Blood,D,1989-03-15,,,,,,,
bloodev01,Evan Bloodoff,LW,1990-11-21,,,,,,,
bloommi01,Mike Bloom,LW,1952-04-12,Left,6-3,190,206,Ottawa,Ontario,ca
blouisy01,Sylvain Blouin,LW,1974-05-21,Left,6-2,188,215,Montreal,Quebec,ca
bluejo01,John Blue,G,1966-02-19,,5-10,178,185,,,
bluegte01,Teddy Blueger,C,1994-08-15,Left,6-0,183,185,Riga,Latvia,lv
blujudy01,Dylan Blujus,D,1994-01-22,Right,6-3,190,205,,,
blumfr01,Frank Blum,G,1952-06-29,,6-0,183,180,Sudbury,Ontario,ca
blumjo01,John Blum,D,1959-10-08,Right,6-3,190,205,Detroit,Michigan,us
blumjo02,Jonathon Blum,D,1989-01-30,Right,6-1,185,186,,,
blumema01,Matej Blumel,RW,2000-05-31,Left,5-11,180,198,,,
blundmi01,Mike Blunden,RW,1986-12-15,Right,6-4,193,217,Toronto,Ontario,ca
bobkoig01,Igor Bobkov,G,1991-01-02,,6-5,196,235,,,
bobrovi01,Viktor Bobrov,C,1984-01-01,,,,,,,
bobrose01,Sergei Bobrovsky,G,1988-09-20,,6-2,188,187,Novokuznetsk,USSR,su
bobylvl01,Vladimir Bobylev,RW,1997-04-18,Left,6-2,188,202,,,
bochebr01,Brandon Bochenski,RW,1982-04-04,Right,6-1,185,187,Blaine,Minnesota,us
bodakbo01,Bob Bodak,LW,1961-05-28,Left,6-2,188,200,,,
boddygr01,Gregg Boddy,D,1949-03-19,Left,6-2,188,200,Ponoka,Alberta,ca
bodgedo01,Doug Bodger,D,1966-06-18,Left,6-2,188,210,,,
bodietr01,Troy Bodie,RW,1985-01-25,Right,6-5,196,226,,,
bodinra01,Rasmus Bodin,LW,1994-05-05,,,,,,,
bodnagu01,Gus Bodnar,C,1923-04-24,Right,5-11,180,160,,,
bodnaan01,Andrew Bodnarchuk,D,1988-07-11,Left,5-11,180,195,Drumheller,Alberta,ca
bodrode01,Denis Bodrov,D,1986-08-22,,,,,,,
boedkmi01,Mikkel Boedker,RW,1989-12-16,Left,6-0,183,210,Brondby,Denmark,dk
boehmro01,Ron Boehm,LW,1943-08-14,Left,5-8,173,160,Saskatoon,Saskatchewan,ca
boescga01,Garth Boesch,D,1920-10-07,Right,6-0,183,180,Milestone,Saskatchewan,ca
boesebr01,Brock Boeser,RW,1997-02-25,Right,6-1,185,208,Burnsville,Minnesota,us
bogosza01,Zach Bogosian,D,1990-07-15,Right,6-3,190,221,,,
boguner01,Eric Boguniecki,C,1975-05-06,Right,5-8,173,198,,,
bohri01,Rick Boh,C,1964-05-18,Right,5-10,178,185,,,
bohonlo01,Lonny Bohonos,RW,1973-05-20,Right,5-11,180,190,Winnipeg,Manitoba,ca
boikoal01,Alexandre Boikov,D,1975-02-07,Left,6-0,183,200,Chelyabinsk,USSR,su
boikose01,Sergei Boikov,D,1996-01-24,Left,6-2,188,195,,,
boilema01,Marc Boileau,C,1932-09-03,Left,5-11,180,170,,,
boilepa01,Patrick Boileau,D,1975-02-22,Right,6-0,183,202,Montreal,Quebec,ca
boilere01,Rene Boileau,C,1904-05-18,Left,5-10,178,160,,,
boimifr01,Fred Boimistruck,D,1962-01-14,Right,5-11,180,190,Sudbury,Ontario,ca
boisda01,Danny Bois,RW,1983-06-01,Right,6-0,183,196,,,
boiscda01,Daniel Boisclair,G,1982-11-02,,,,,,,
boisvgi01,Gilles Boisvert,G,1933-02-15,,5-8,173,152,,,
boisvse01,Serge Boisvert,RW,1959-06-01,Right,5-9,175,172,Drummondville,Quebec,ca
boivicl01,Claude Boivin,LW,1970-03-01,Left,6-2,188,200,,,
boivile01,Leo Boivin,D,1932-08-02,Left,5-8,173,183,Prescott,Ontario,ca
bokani01,Nicholas Boka,D,1997-09-08,Right,6-0,183,197,Commerce,Michigan,us
bokkdo01,Dominik Bokk,RW,2000-02-03,Right,6-1,185,176,Schweinfurt,Germany,de
bolanmi01,Mike Boland,RW,1949-12-16,Right,5-10,178,183,Montreal,Quebec,ca
bolanmi02,Mike Boland,D,1954-10-29,Right,6-0,183,190,London,Ontario,ca
boldiiv01,Ivan Boldirev,C,1949-08-15,Left,6-0,183,190,Zranjanin,Yugoslavia,yu
boldtty01,Tyler Boldt,D,1984-01-03,,,,,,,
boldual01,Alexandre Bolduc,C,1985-06-26,Left,6-3,190,200,Montreal,Quebec,ca
bolduda01,Danny Bolduc,LW,1953-04-06,Left,5-9,175,180,Waterville,Maine,us
bolduje01,Jean-Michel Bolduc,D,1985-02-27,,,,,,,
boldumi01,Michel Bolduc,D,1961-03-13,Left,6-2,188,190,Angegardien,Quebec,ca
boldusa01,Samuel Bolduc,D,2000-12-09,Left,6-4,193,213,Laval,Canada,ca
boldyma01,Matthew Boldy,LW,2001-04-05,Left,6-2,188,196,,,
bolflu01,Lukas Bolf,D,1985-02-20,,,,,,,
bollbu01,Buzz Boll,LW,1911-03-06,Left,5-10,178,166,Filmore,Saskatchewan,ca
bollja01,Jared Boll,RW,1986-05-13,Right,6-3,190,206,,,
bollada01,Dave Bolland,C,1986-06-05,Right,6-0,183,184,Mimico,Ontario,ca
bollibr01,Brandon Bollig,LW,1987-01-31,Left,6-2,188,220,,,
bolonla01,Larry Bolonchuk,D,1952-02-26,Right,5-10,178,190,Winnipeg,Manitoba,ca
boltbo01,Bobby Bolt,LW,1987-04-29,,,,,,,
boltmja01,Jake Boltmann,D,2001-10-19,Right,6-0,183,188,Edina,Minnesota,us
boltohu01,Hugh Bolton,D,1929-04-15,Left,6-3,190,186,Toronto,Ontario,ca
bombabr01,Brad Bombardir,D,1972-05-05,Left,6-1,185,205,,,
bonarda01,Dan Bonar,C,1956-09-23,Right,5-9,175,175,Brandon,Manitoba,ca
bondke01,Kerry Bond,LW,1945-07-18,Left,6-0,183,190,Sudbury,Ontario,ca
bondaar01,Arseny Bondarev,LW,1985-04-09,,,,,,,
bondrpe01,Peter Bondra,RW,1968-02-07,Left,6-0,183,200,Luck,USSR,su
bondrra01,Radovan Bondra,RW,1997-01-27,Left,,,,,,
boninbr01,Brian Bonin,C,1973-11-28,Left,5-10,178,186,,,
boninma01,Marcel Bonin,W,1932-09-12,Left,5-10,178,170,Montreal,Quebec,ca
boninni01,Nick Bonino,C,1988-04-20,Left,6-1,185,196,Hartford,Connecticut,us
bonkra01,Radek Bonk,C,1976-01-09,Left,6-2,188,210,Krnov,Czechoslovakia,cs
bonneji01,Jimmy Bonneau,LW,1985-03-22,,,,,,,
bonniry01,Ryan Bonni,D,1979-02-18,Left,6-4,193,190,Winnipeg,Manitoba,ca
bonsija01,Jason Bonsignore,C,1976-04-15,Right,6-4,193,220,,,
bonvide01,Dennis Bonvie,RW,1973-07-23,Right,5-11,180,205,,,
booji01,Jim Boo,D,1954-11-12,Right,6-1,185,200,Rolla,Missouri,us
boogaaa01,Aaron Boogaard,RW,1986-08-11,,,,,,,
boogade01,Derek Boogaard,LW,1982-06-23,Right,6-7,201,265,Saskatoon,Saskatchewan,ca
boondi01,Dickie Boon,P,1878-01-10,,5-5,165,130,Belleville,Ontario,ca
boonebu01,Buddy Boone,RW,1932-09-11,Right,5-7,170,158,,,
boothca01,Callum Booth,G,1997-05-21,,6-4,193,191,Montreal,Quebec,ca
boothda01,David Booth,LW,1984-11-24,Left,6-0,183,212,Detroit,Michigan,us
boothge01,George Boothman,C/D,1916-09-25,Right,6-2,188,175,Calgary,Alberta,ca
bootlda01,Darryl Bootland,RW,1981-11-02,Right,6-1,185,197,Toronto,Ontario,ca
boqviad01,Adam Boqvist,D,2000-08-15,Right,5-11,180,179,Falun,Sweden,se
boqvije01,Jesper Boqvist,C,1998-10-30,Left,6-0,183,179,Falun,Sweden,se
bordech01,Christian Bordeleau,C,1947-09-23,Left,5-8,173,172,Noranda,Quebec,ca
bordejp01,J.P. Bordeleau,RW,1949-06-13,Right,6-1,185,175,Noranda,Quebec,ca
bordepa02,Patrick Bordeleau,LW,1986-03-23,Left,6-6,198,225,Montreal,Quebec,ca
bordepa01,Paulin Bordeleau,RW,1953-01-29,Right,5-9,175,162,Noranda,Quebec,ca
bordese01,Sebastien Bordeleau,C,1975-02-15,Right,5-11,180,185,,,
bordeth01,Thomas Bordeleau,C,2002-01-03,Left,5-9,175,175,Houston,Texas,us
borerca01,Casey Borer,D,1985-07-28,Left,6-2,188,205,Minneapolis,Minnesota,us
borgewi01,William Borgen,D,1996-12-19,Right,6-2,188,199,Moorhead,Minnesota,us
borgedo01,Don Borgeson,LW,1945-05-20,Left,5-11,180,175,,,
borgman01,Andreas Borgman,D,1995-06-18,Left,6-0,183,212,Stockholm,Sweden,se
borgshe01,Henrik Borgström,C,1997-08-06,Left,6-3,190,190,Helsinki,Finland,fi
borotja01,Jack Borotsik,C,1949-11-26,Left,5-9,175,180,Brandon,Manitoba,ca
borowma01,Mark Borowiecki,D,1989-07-12,Left,6-1,185,207,Ottawa,Ontario,ca
borsalu01,Luciano Borsato,C,1966-01-07,Right,5-11,180,190,,,
borscni01,Nikolai Borschevsky,RW,1965-01-12,Left,5-9,175,180,Tomsk,USSR,su
borturo01,Robert Bortuzzo,D,1989-03-18,Right,6-4,193,216,,,
boschla01,Laurie Boschman,C,1960-06-04,Left,6-0,183,185,Major,Saskatchewan,ca
bossymi01,Mike Bossy,RW,1957-01-22,Right,6-0,183,186,Montreal,Quebec,ca
bostrhe01,Helge Bostrom,D,1894-01-09,Left,5-8,173,185,Gimli,Manitoba,ca
botelma01,Mark Botell,D,1961-08-27,Left,6-4,193,220,Scarborough,Ontario,ca
bothwti01,Tim Bothwell,D,1955-05-06,Left,6-3,190,190,,,
botteja01,Jason Botterill,LW,1976-05-19,Left,6-4,193,220,Edmonton,Alberta,ca
bottica01,Cam Botting,RW,1954-03-10,Right,6-2,188,205,Kingston,Ontario,ca
bouchhe01,Henry Boucha,C,1951-06-01,Right,6-0,183,185,Warroad,Minnesota,us
bouchbu01,Butch Bouchard,D,1919-09-04,Right,6-2,188,205,Montreal,Quebec,ca
bouchda01,Dan Bouchard,G,1950-12-12,,6-0,183,190,,,
bouchdi01,Dick Bouchard,RW,1934-12-02,Right,5-8,173,155,Lettelier,Manitoba,ca
bouched01,Edmond Bouchard,LW/D,1892-05-24,Left,5-10,178,185,,,
bouchev01,Evan Bouchard,D,1999-10-20,Right,6-2,188,192,Oakville,Ontario,ca
bouchfr02,Francois Bouchard,RW,1988-04-26,Left,6-1,185,195,Sherbrooke,Quebec,ca
bouchjo01,Joel Bouchard,D,1974-01-23,Left,6-1,185,209,Montreal,Quebec,ca
bouchke01,Keven Bouchard,G,1996-04-19,,6-2,188,205,,,
bouchpi01,Pierre Bouchard,D,1948-02-20,Left,6-2,188,205,Montreal,Quebec,ca
bouchpi02,Pierre-Marc Bouchard,C,1984-04-27,Left,5-11,180,171,Sherbrooke,Quebec,ca
bouchxa01,Xavier Bouchard,D,2000-02-28,Right,6-4,193,190,,,
bouchbi01,Billy Boucher,RW,1899-11-10,Right,5-7,170,155,Ottawa,Ontario,ca
bouchbo01,Bobby Boucher,C,1904-02-14,Right,5-8,173,142,Ottawa,Ontario,ca
bouchbr01,Brian Boucher,G,1977-01-02,,6-2,188,198,,,
bouchcl01,Clarence Boucher,D,1896-11-01,Left,6-1,185,195,,,
bouchfr01,Frank Boucher,C,1901-10-07,Left,5-9,175,185,Ottawa,Ontario,ca
bouchge01,Georges Boucher,D,1896-08-17,Left,5-9,175,169,Ottawa,Ontario,ca
bouchph01,Philippe Boucher,D,1973-03-24,Right,6-3,190,218,,,
bouchre01,Reid Boucher,C,1993-09-08,Left,5-10,178,195,Lansing,Michigan,us
bouckty01,Tyler Bouck,C,1980-01-13,Left,6-0,183,196,Camrose,Alberta,ca
boudrbr01,Bruce Boudreau,C,1955-01-09,Left,5-9,175,170,Toronto,Ontario,ca
boudrga01,Gabryel Boudreau,LW,1995-02-21,,5-11,180,170,,,
boudrmi01,Michel Boudreau,C,1952-09-26,Left,6-0,183,180,Asbestos,Quebec,ca
boudran01,Andre Boudrias,LW,1943-09-19,Left,5-8,173,165,Montreal,Quebec,ca
boudrsh01,Shawn Boudrias,RW,1999-09-14,Right,6-3,190,197,Laval,Quebec,ca
boughba01,Barry Boughner,LW,1948-01-29,Left,5-10,178,180,Delhi,Ontario,ca
boughbo01,Bob Boughner,D,1971-03-08,Right,6-0,183,203,Windsor,Ontario,ca
bouilfr01,Francis Bouillon,D,1975-10-17,Left,5-8,173,194,,,
bouleje01,Jesse Boulerice,RW,1978-08-10,Right,6-2,188,215,,,
boulter01,Eric Boulton,LW,1976-08-17,Left,6-0,183,227,,,
boumala01,Lance Bouma,C,1990-03-25,Left,6-2,188,208,Provost,Alberta,ca
boumejo01,Josef Boumedienne,D,1978-01-12,Left,6-1,185,200,Stockholm,Sweden,se
bouragu01,Gustav Bouramman,D,1997-01-24,Right,6-0,183,189,Stockholm,Sweden,se
bourbda01,Dan Bourbonnais,LW,1962-03-06,Left,5-10,178,185,Winnipeg,Manitoba,ca
bourbri01,Rick Bourbonnais,RW,1955-04-20,Right,6-0,183,186,Toronto,Ontario,ca
bourcco01,Conrad Bourcier,C,1915-05-28,Left,5-6,168,155,Montreal,Quebec,ca
bourcje01,Jean Bourcier,LW,1911-01-03,Left,5-11,180,175,Montreal,Quebec,ca
bourdlu01,Luc Bourdon,D,1987-02-16,Left,6-3,190,211,,,
bourdma01,Marc-Andre Bourdon,D,1989-09-17,Left,6-0,183,206,,,
bourgle01,Leo Bourgeault,D,1903-01-17,Left,5-6,168,165,,,
bourgch01,Charlie Bourgeois,D,1959-11-19,Right,6-4,193,220,,,
bourktr01,Troy Bourke,C,1994-03-30,Left,5-10,178,156,Edmonton,Alberta,ca
bournbo01,Bob Bourne,C,1954-06-21,Left,6-3,190,200,Kindersley,Saskatchewan,ca
bournmi01,Michael Bournival,LW,1992-05-31,Left,5-11,180,198,Shawinigan,Quebec,ca
bourqch01,Chris Bourque,LW,1986-01-29,Left,5-8,173,174,Boston,Massachusetts,us
bourqcl01,Claude Bourque,G,1915-03-31,,5-6,168,140,,,
bourqga01,Gabriel Bourque,LW,1990-09-23,Left,5-10,178,206,Rimouski,Quebec,ca
bourqma01,Mavrik Bourque,C,2002-01-08,Right,5-10,178,178,Plessisville,Quebec,ca
bourqph01,Phil Bourque,LW,1962-06-08,Left,6-1,185,196,Chelmsford,Massachusetts,us
bourqra01,Ray Bourque,D,1960-12-28,Left,5-11,180,219,Montreal,Quebec,ca
bourqre01,Rene Bourque,RW,1981-12-10,Left,6-2,188,217,,,
bourqry01,Ryan Bourque,C,1991-01-03,Left,5-9,175,175,Boxford,Massachusetts,us
bourqsi01,Simon Bourque,D,1997-01-12,Left,6-0,183,184,Longueuil,Quebec,ca
bourqtr01,Trenton Bourque,D,1998-06-11,Left,6-2,188,201,Burlington,Ontario,ca
bourral01,Alex Bourret,RW,1986-10-05,,,,,,,
boutepa01,Pat Boutette,C/RW,1952-03-01,Left,5-8,173,175,Windsor,Ontario,ca
bouthga01,Gabriel Bouthillette,G,1985-05-21,,,,,,,
bouthza01,Zachary Bouthillier,G,1999-11-08,Left,6-2,188,185,,,
boutipa01,Paul Boutilier,D,1963-05-03,Left,6-0,183,200,,,
boutijo01,Jonathan Boutin,G,1985-03-28,,,,,,,
boutijo02,Jonathan Michel Boutin,RW,1984-10-21,,,,,,,
boutiro01,Rollie Boutin,G,1957-11-06,,5-9,175,179,Westlock,Alberta,ca
bouvrli01,Lionel Bouvrette,G,1914-06-10,,5-9,175,165,Hawkesbury,Ontario,ca
bouwmja01,Jay Bouwmeester,D,1983-09-27,Left,6-4,193,206,Edmonton,Alberta,ca
bowla01,Landon Bow,G,1995-08-24,,6-5,196,210,,,
bowenet01,Ethan Bowen,C,2002-05-14,Left,6-1,185,154,,,
bowenja01,Jason Bowen,D,1973-11-09,Left,6-4,193,220,,,
bowerjo01,Johnny Bower,G,1924-11-08,,5-11,180,189,,,
bowersh01,Shane Bowers,C,1999-07-30,Left,6-2,188,186,,,
boweyma01,Madison Bowey,D,1995-04-22,Right,6-2,188,202,Winnipeg,Manitoba,ca
bowieru01,Russell Bowie,C,1880-08-24,,,,,Montreal,Quebec,ca
bowlebi01,Bill Bowler,C,1974-09-25,Left,5-9,175,180,Toronto,Ontario,ca
bowlebr01,Brian Bowles,D,1952-02-18,Right,5-11,180,180,Drummondville,Quebec,ca
bowmadr01,Drayson Bowman,C/LW,1989-03-08,Left,6-1,185,195,,,
bowmaki01,Kirk Bowman,LW,1952-09-30,Left,5-9,175,178,Leamington,Ontario,ca
bowmara01,Ralph Bowman,D,1911-06-20,Left,5-11,180,190,Winnipeg,Manitoba,ca
bownaja01,Jack Bownass,D,1930-07-27,Left,6-1,185,190,Winnipeg,Manitoba,ca
bowneri01,Rick Bowness,RW,1955-01-25,Right,6-1,185,185,,,
bownery01,Ryan Bowness,RW,1983-08-05,,,,,,,
boyceda01,Darryl Boyce,C,1984-07-07,Left,6-0,183,200,,,
boychjo01,Johnny Boychuk,D,1984-01-19,Right,6-2,188,227,Edmonton,Alberta,ca
boychri01,Riley Boychuk,LW,1991-02-20,,,,,,,
boychza01,Zach Boychuk,C,1989-10-04,Left,5-10,178,185,Airdrie,Alberta,ca
boydbi01,Bill Boyd,RW,1898-05-15,Right,5-10,178,185,Belleville,Ontario,ca
boydbo01,Bob Boyd,D,1951-11-27,Right,6-0,183,190,Toronto,Ontario,ca
boyddu01,Dustin Boyd,C,1986-07-16,Left,6-0,183,187,Winnipeg,Manitoba,ca
boydir01,Irwin Boyd,RW,1908-11-13,Right,5-10,178,152,Ardmore,Pennsylvania,us
boydji01,Jim Boyd,C,1949-06-04,Left,5-9,175,180,Calgary,Alberta,ca
boydr,R.J. Boyd,D,1991-02-07,,,,,,,
boydra01,Randy Boyd,D,1962-01-23,Left,5-11,180,190,Coniston,Ontario,ca
boydtr01,Travis Boyd,C,1993-09-14,Right,5-11,180,185,Hopkins,Minnesota,us
boyerwa01,Wally Boyer,C,1937-09-27,Left,5-8,173,165,Cowan,Manitoba,ca
boyerza01,Zac Boyer,RW,1971-10-25,Right,6-1,185,199,,,
boyesbr01,Brad Boyes,RW,1982-04-17,Right,6-0,183,199,Mississauga,Ontario,ca
boykoda01,Darren Boyko,C,1964-01-16,Right,5-9,175,169,Winnipeg,Manitoba,ca
boylade01,Dean Boylan,D,1951-01-28,Right,6-0,183,185,Boston,Massachusetts,us
boylebr01,Brian Boyle,C,1984-12-18,Left,6-6,198,245,Hingham,Massachusetts,us
boyleda01,Dan Boyle,D,1976-07-12,Right,5-11,180,194,Ottawa,Ontario,ca
boyleke01,Kevin Boyle,G,1992-05-30,,6-1,185,197,,,
boyleti01,Timothy Boyle,D,1993-03-21,,,,,,,
boyntni01,Nick Boynton,D,1979-01-14,Right,6-1,185,218,Nobleton,Ontario,ca
bozakty01,Tyler Bozak,C,1986-03-19,Right,6-1,185,199,Regina,Saskatchewan,ca
bozekst01,Steve Bozek,LW,1960-11-26,Left,5-11,180,180,,,
bozonph01,Philippe Bozon,LW,1966-11-30,Left,5-10,178,185,Chamonix,France,fr
bozonti01,Tim Bozon,LW,1994-03-24,Left,6-1,185,201,,,
braccje01,Jeremy Bracco,RW,1997-03-17,Right,5-11,180,185,,,
brackjo01,John Brackenborough,LW/C,1897-02-09,Left,5-11,180,170,,,
brackcu01,Curt Brackenbury,RW,1952-01-31,Right,5-10,178,200,Kapuskasing,Ontario,ca
bradfbr01,Brock Bradford,C,1987-01-07,,,,,,,
bradlba01,Bart Bradley,C,1930-07-29,Left,5-8,173,150,,,
bradlbr02,Brian Bradley,LW,1944-12-14,Left,5-10,178,185,Sudbury,Ontario,ca
bradlbr01,Brian Bradley,C,1965-01-21,Right,5-10,178,180,Kitchener,Ontario,ca
bradlch01,Chase Bradley,LW,2002-01-09,Left,5-11,180,180,,,
bradlly01,Lyle Bradley,C/RW,1943-07-31,Right,5-9,175,160,Lloydminster,Saskatchewan,ca
bradlma01,Matt Bradley,RW,1978-06-13,Right,6-3,190,201,Stittsville,Ontario,ca
bradlma02,Matthew Bradley,C,1997-01-22,Right,5-11,180,187,,,
bradyco01,Cole Brady,G,2001-02-12,,6-4,193,175,Pickering,Ontario,ca
bradyne01,Neil Brady,C,1968-04-12,Left,6-2,188,200,Montreal,Quebec,ca
bragiva01,Valeri Bragin,F,1956-05-31,,,,,,,
bragnri01,Rick Bragnalo,C,1951-12-01,Left,5-8,173,160,,,
brandch01,Christoph Brandner,LW,1975-07-05,Left,6-4,193,224,,,
branian01,Andy Branigan,D,1922-04-11,Left,5-11,180,190,Winnipeg,Manitoba,ca
branner01,Erik Brannstrom,D,1999-09-02,Left,5-10,178,179,Eksjo,Sweden,se
brasape01,Per-Olov Brasar,LW,1950-09-30,Left,5-8,173,172,Falun,Sweden,se
brashdo01,Donald Brashear,LW,1972-01-07,Left,6-3,190,237,Bedford,Indiana,us
brassau01,Austen Brassard,RW,1993-01-14,,,,,,,
brassde01,Derick Brassard,C,1987-09-22,Left,6-1,185,202,Hull,Quebec,ca
brassfr01,Francois Brassard,G,1994-01-31,,,,,,,
brassma01,Matt Brassard,D,1998-08-08,Right,6-2,188,197,Barrie,Ontario,ca
brathfr01,Fred Brathwaite,G,1972-11-24,,5-7,170,185,Ottawa,Ontario,ca
brattje01,Jesper Bratt,W,1998-07-30,Left,5-10,178,175,Stockholm,Sweden,se
brattvi01,Victor Brattstrom,G,1997-03-22,Left,6-5,196,200,Sweden,Sweden,se
braunco01,Constantin Braun,D,1988-03-11,,,,,,,
braunju01,Justin Braun,D,1987-02-10,Right,6-2,188,205,Minneapolis,Minnesota,us
braxepe01,Per Braxenholm,D,1983-10-31,,,,,,,
braydu01,Duane Bray,D,1954-04-26,Left,6-2,188,195,Flon,Manitoba,ca
braymi01,Mike Bray,RW,1982-12-17,,,,,,,
braysru01,Russ Brayshaw,LW,1918-01-17,Left,5-10,178,170,Saskatoon,Saskatchewan,ca
breaube01,Benjamin Breault,C,1988-02-21,,,,,,,
breaufr01,Francis Breault,RW,1967-05-11,Left,5-11,180,185,,,
brediga01,Gary Bredin,RW,1948-05-25,Right,6-0,183,185,Edmonton,Alberta,ca
breench01,Christopher Breen,D,1989-06-29,Left,6-7,201,226,Uxbridge,Ontario,ca
breitke01,Ken Breitenbach,D,1955-01-09,Left,6-1,185,190,Welland,Ontario,ca
brembfr01,Fredrik Bremberg,C,1973-06-21,Left,6-0,183,190,Stockholm,Sweden,se
brendpa01,Pavel Brendl,RW,1981-03-23,Right,6-1,185,204,Opocno,Czechoslovakia,cs
brenkja01,Jake Brenk,C,1982-04-16,,,,,,,
brennda01,Dan Brennan,LW,1962-10-01,Left,6-3,190,210,,,
brenndo01,Doug Brennan,D,1905-01-10,Left,5-11,180,180,Peterborough,Ontario,ca
brennki01,Kip Brennan,LW,1980-08-27,Left,6-4,193,230,Kingston,Ontario,ca
brennri01,Rich Brennan,D,1972-11-26,Right,6-2,188,200,,,
brenntj01,T.J. Brennan,D,1989-04-03,Left,6-1,185,216,,,
brennto01,Tom Brennan,RW,1922-01-22,Right,5-9,175,155,Philadelphia,Pennsylvania,us
brennjo01,John Brenneman,LW,1943-01-05,Left,5-10,178,175,,,
brentti01,Tim Brent,C,1984-03-10,Right,6-0,183,188,Cambridge,Ontario,ca
brettjo01,Joe Bretto,D,1912-11-28,Left,6-1,185,248,Hibbing,Minnesota,us
breweca01,Carl Brewer,D,1938-10-21,Left,5-9,175,180,Toronto,Ontario,ca
breweer01,Eric Brewer,D,1979-04-17,Left,6-4,193,216,,,
brickan01,Andy Brickley,LW/C,1961-08-09,Left,5-11,180,200,Melrose,Massachusetts,us
brickco01,Connor Brickley,C,1992-02-25,Left,6-0,183,203,Everett,Massachusetts,us
brickda01,Daniel Brickley,D,1995-03-30,Left,6-3,190,205,Sandy,Utah,us
bridear01,Archie Briden,LW,1898-07-16,Left,5-8,173,170,Renfrew,Ontario,ca
bridgme01,Mel Bridgman,C,1955-04-28,Left,6-0,183,190,Trenton,Ontario,ca
brierda01,Daniel Briere,C,1977-10-06,Right,5-9,175,174,Gatineau,Quebec,ca
briermi01,Michel Briere,C,1949-10-21,Left,5-10,178,165,Malartic,Quebec,ca
brigltr01,Travis Brigley,LW,1977-06-16,Left,6-0,183,205,Coronation,Alberta,ca
brimaar01,Aris Brimanis,D,1972-03-14,Right,6-3,190,215,Cleveland,Ohio,us
brimsfr01,Frank Brimsek,G,1915-09-26,,5-9,175,170,Eveleth,Minnesota,us
brindro01,Rod Brind'Amour,C,1970-08-09,Left,6-1,185,205,Ottawa,Ontario,ca
brindsk01,Skyler Brind'Amour,C,1999-07-27,Left,6-2,188,170,,,
brinddo01,Doug Brindley,LW/C,1949-06-08,Left,6-1,185,175,Walkerton,Ontario,ca
brineda01,David Brine,C,1985-01-06,Left,6-1,185,201,,,
brinkbo01,Bobby Brink,RW,2001-07-08,Right,5-8,173,165,,,
brinkmi01,Milt Brink,C,1910-11-26,Right,5-10,178,165,Hibbing,Minnesota,us
brinkbe01,Benjamin Brinkman,D,2000-10-04,Left,6-0,183,215,Edina,Minnesota,us
brisegu01,Guillaume Brisebois,D,1997-07-21,Left,6-2,188,175,Longueuil,Quebec,ca
brisepa01,Patrice Brisebois,D,1971-01-27,Right,6-2,188,197,Montreal,Quebec,ca
brissbr01,Brendan Brisson,C,2001-10-22,Left,5-10,178,179,,,
brissge01,Gerry Brisson,RW,1937-09-03,Left,5-9,175,155,,,
brittjo01,Josh Brittain,LW,1990-01-03,,,,,,,
brittsa01,Sam Brittain,G,1992-05-10,,6-3,190,229,Calgary,Alberta,ca
britzgr01,Greg Britz,RW,1961-01-03,Left,6-0,183,190,,,
broadpu01,Punch Broadbent,RW,1892-07-13,Right,5-7,170,183,Ottawa,Ontario,ca
broadal01,Alex Broadhurst,C,1993-03-07,Left,6-0,183,178,,,
brobeph01,Philip Broberg,D,2001-06-25,Left,6-3,190,198,Orebro,Sweden,se
brochma01,Martin Brochu,G,1973-03-10,,6-0,183,199,Anjou,Quebec,ca
brochst01,Stephane Brochu,D,1967-08-15,Left,6-0,183,185,Sherbrooke,Quebec,ca
brodajo01,Joel Broda,C,1989-11-24,,,,,,,
brodatu01,Turk Broda,G,1914-05-15,,5-9,175,180,Brandon,Manitoba,ca
brodeco01,Connie Broden,C,1932-04-06,Left,5-8,173,160,Montreal,Quebec,ca
brodeke01,Ken Broderick,G,1942-02-16,,5-10,178,178,Toronto,Ontario,ca
brodele01,Len Broderick,G,1938-10-11,,5-11,180,175,Toronto,Ontario,ca
brodean01,Anthony Brodeur,G,1995-06-08,,,,,,,
brodema01,Martin Brodeur,G,1972-05-06,,6-2,188,220,Montreal,Quebec,ca
brodema02,Mathieu Brodeur,D,1990-06-21,,,,,,,
brodemi01,Mike Brodeur,G,1983-03-30,,6-2,188,190,Calgary,Alberta,ca
broderi01,Richard Brodeur,G,1952-09-15,,5-7,170,160,Longueuil,Quebec,ca
broditj01,T.J. Brodie,D,1990-06-07,Left,6-1,185,185,Chatham,Ontario,ca
brodida01,Daniel Brodin,LW,1990-02-09,,,,,,,
brodijo01,Jonas Brodin,D,1993-07-12,Left,6-1,185,198,Karlstad,Sweden,se
brodzky01,Kyle Brodziak,C,1984-05-25,Right,6-2,188,205,,,
